SPPNM,NESPP3,Code,Species,mt,AtlantisGroup,
BIG ROUGHY,25,NA,NA,0.16094731,,
BULLHEADS,45,NA,NA,0.140403532,,
POMFRETS,271,NA,NA,0.128926419,,
CHANNEL CATFISH,68,NA,NA,0.112853942,,
BONNETHEAD SHARK,476,NA,NA,0.112243649,DSH,
TARPON,435,NA,NA,0.10147722,,
BLUE CATFISH,67,NA,NA,0.094812345,,
MUMMICHOG,237,NA,NA,0.085228226,,
BASKING SHARK,496,NA,NA,0.049614889,PSH,
NIGHT SHARK,486,NA,NA,0.024357184,DSH,
RED GROUPER,26,NA,NA,0.020411681,FDF,??
TRIPLETAIL,459,NA,NA,0.006219561,,
YELLOW PERCH,517,NA,NA,0.005896708,,
FINGERED KELP,820,NA,NA,0.005483935,,
RED BARBIER,337,NA,NA,0.003612928,,
SUCKERS,423,NA,NA,0.00265893,,
HOUNDFISH,20,NA,NA,0.001934979,,
